"T","Points:0","Points:1","Points:2"
319.97,0.006,-0.144,0
319.99,0,-0.144,0
319.97,0.006,-0.14106,0
320,0,-0.14106,0
319.97,0.012,-0.144,0
319.97,0.012,-0.14106,0
319.98,0.018,-0.144,0
319.98,0.018,-0.14106,0
319.98,0.024,-0.144,0
319.98,0.024,-0.14106,0
319.98,0.03,-0.144,0
319.98,0.03,-0.14106,0
319.98,0.036,-0.144,0
319.98,0.036,-0.14106,0
319.98,0.042,-0.144,0
319.98,0.042,-0.14106,0
319.98,0.048,-0.144,0
319.98,0.048,-0.14106,0
319.98,0.054,-0.144,0
319.98,0.054,-0.14106,0
319.98,0.06,-0.144,0
319.98,0.06,-0.14106,0
319.97,0.066,-0.144,0
319.97,0.066,-0.14106,0
319.97,0.072,-0.144,0
319.97,0.072,-0.14106,0
319.96,0.078,-0.144,0
319.97,0.078,-0.14106,0
319.96,0.084,-0.144,0
319.96,0.084,-0.14106,0
319.96,0.09,-0.144,0
319.96,0.09,-0.14106,0
319.95,0.096,-0.144,0
319.95,0.096,-0.14106,0
319.95,0.102,-0.144,0
319.95,0.102,-0.14106,0
319.94,0.108,-0.144,0
319.95,0.108,-0.14106,0
319.94,0.114,-0.144,0
319.94,0.114,-0.14106,0
319.94,0.12,-0.144,0
319.94,0.12,-0.14106,0
319.94,0.126,-0.144,0
319.94,0.126,-0.14106,0
319.93,0.132,-0.144,0
319.94,0.132,-0.14106,0
319.93,0.138,-0.144,0
319.93,0.138,-0.14106,0
319.92,0.144,-0.144,0
319.92,0.144,-0.14106,0
319.91,0.15,-0.144,0
319.91,0.15,-0.14106,0
319.9,0.156,-0.144,0
319.9,0.156,-0.14106,0
319.89,0.162,-0.144,0
319.9,0.162,-0.14106,0
319.89,0.168,-0.144,0
319.89,0.168,-0.14106,0
319.89,0.174,-0.144,0
319.89,0.174,-0.14106,0
319.9,0.18,-0.144,0
319.89,0.18,-0.14106,0
319.91,0.186,-0.144,0
319.91,0.186,-0.14106,0
319.93,0.192,-0.144,0
319.92,0.192,-0.14106,0
319.95,0.198,-0.144,0
319.94,0.198,-0.14106,0
319.96,0.204,-0.144,0
319.95,0.204,-0.14106,0
319.94,0.21,-0.144,0
319.94,0.21,-0.14106,0
319.92,0.216,-0.144,0
319.92,0.216,-0.14106,0
320.2,0.222,-0.144,0
320.09,0.222,-0.14106,0
320.81,0.228,-0.144,0
320.55,0.228,-0.14106,0
321.44,0.234,-0.144,0
321.07,0.234,-0.14106,0
322.28,0.24,-0.144,0
321.96,0.24,-0.14106,0
324.45,0.246,-0.144,0
325.12,0.246,-0.14106,0
327.34,0.252,-0.144,0
329.17,0.252,-0.14106,0
329.36,0.258,-0.144,0
330.93,0.258,-0.14106,0
332.04,0.264,-0.144,0
332.53,0.264,-0.14106,0
337.37,0.27,-0.144,0
337.36,0.27,-0.14106,0
342.75,0.276,-0.144,0
343.37,0.276,-0.14106,0
347.46,0.282,-0.144,0
348.23,0.282,-0.14106,0
351.04,0.288,-0.144,0
351.06,0.288,-0.14106,0
352.8,0.294,-0.144,0
353.12,0.294,-0.14106,0
355.45,0.3,-0.144,0
356.43,0.3,-0.14106,0
358.25,0.306,-0.144,0
359.25,0.306,-0.14106,0
360.08,0.312,-0.144,0
360.93,0.312,-0.14106,0
361.32,0.318,-0.144,0
361.89,0.318,-0.14106,0
361.38,0.324,-0.144,0
361.45,0.324,-0.14106,0
358.13,0.33,-0.144,0
357.89,0.33,-0.14106,0
351.08,0.336,-0.144,0
351.94,0.336,-0.14106,0
350.81,0.342,-0.144,0
352.46,0.342,-0.14106,0
356.59,0.348,-0.144,0
357.13,0.348,-0.14106,0
356.91,0.354,-0.144,0
356.72,0.354,-0.14106,0
354.5,0.36,-0.144,0
354.52,0.36,-0.14106,0
353.05,0.366,-0.144,0
353.33,0.366,-0.14106,0
351.92,0.372,-0.144,0
352.22,0.372,-0.14106,0
350.29,0.378,-0.144,0
350.15,0.378,-0.14106,0
348.46,0.384,-0.144,0
347.91,0.384,-0.14106,0
347.6,0.39,-0.144,0
347.06,0.39,-0.14106,0
348.14,0.396,-0.144,0
347.43,0.396,-0.14106,0
349.17,0.402,-0.144,0
348.56,0.402,-0.14106,0
349.86,0.408,-0.144,0
349.6,0.408,-0.14106,0
349.66,0.414,-0.144,0
349.49,0.414,-0.14106,0
347.51,0.42,-0.144,0
347.19,0.42,-0.14106,0
343.73,0.426,-0.144,0
343.28,0.426,-0.14106,0
340.39,0.432,-0.144,0
339.86,0.432,-0.14106,0
336.92,0.438,-0.144,0
336.46,0.438,-0.14106,0
331.24,0.444,-0.144,0
331.38,0.444,-0.14106,0
325.37,0.45,-0.144,0
325.73,0.45,-0.14106,0
322.39,0.456,-0.144,0
322.47,0.456,-0.14106,0
321.5,0.462,-0.144,0
